UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2015,29,4394550,2225795,2168755,1689509,1607590,301621,315390,32568,29490,144074,155017,7427,6617,50596,54651,1733358,1655035,320854,337545,49951,47638,164268,176709,12812,12291,1749926,1746385,1270453,1238310,279426,292919,16889,16966,139423,150422,5222,5009,38513,42759,1303622,1275287,293533,309761,28523,29770,156500,168927,9441,9537,475869,422370,419056,369280,22195,22471,15679,12524,4651,4595,2205,1608,12083,11892,429736,379748,27321,27784,21428,17868,7768,7782,3371,2754
R,1,2015,30,4338307,2186319,2151988,1661958,1594576,290992,310241,31798,29071,145544,158560,7117,6367,48910,53173,1704373,1640570,309024,331293,48760,47085,165308,180004,12514,11888,1720401,1732052,1251259,1227028,269611,288157,16630,16571,140893,154140,4990,4696,37018,41460,1283158,1262795,282688,303959,27910,29176,157596,172413,9229,9109,465918,419936,410699,367548,21381,22084,15168,12500,4651,4420,2127,1671,11892,11713,421215,377775,26336,27334,20850,17909,7712,7591,3285,2779
R,1,2015,31,4262763,2142776,2119987,1631928,1571042,281934,303632,31260,28570,143278,158412,6981,6371,47395,51960,1672906,1615983,299338,323736,47829,46687,162546,179301,12182,11890,1686333,1703894,1229484,1206792,261058,281803,16176,16174,138808,154131,4961,4751,35846,40243,1260246,1241418,273549,296845,27276,28815,155061,171864,9051,9113,456443,416093,402444,364250,20876,21829,15084,12396,4470,4281,2020,1620,11549,11717,412660,374565,25789,26891,20553,17872,7485,7437,3131,2777
R,1,2015,32,4353795,2185603,2168192,1666634,1607658,286626,310137,31886,29227,145684,162372,7055,6508,47718,52290,1707932,1652787,303980,330514,48952,47723,164795,183134,12383,11998,1714161,1737808,1250364,1230567,265257,287555,16472,16511,141050,157816,5010,4798,36008,40561,1281295,1265352,277650,302772,27903,29494,157166,175485,9217,9201,471442,430384,416270,377091,21369,22582,15414,12716,4634,4556,2045,1710,11710,11729,426637,387435,26330,27742,21049,18229,7629,7649,3166,2797
R,1,2015,33,4263624,2133979,2129645,1632445,1581298,278630,305123,30147,28036,139986,158896,6843,6064,45928,50228,1672074,1624591,295248,324845,46892,45971,158253,178560,11881,11443,1680242,1708577,1231773,1211890,258146,283363,15404,15683,135531,154465,4836,4408,34552,38768,1261341,1245156,270004,298046,26640,28183,150872,171135,8790,8678,453737,421068,400672,369408,20484,21760,14743,12353,4455,4431,2007,1656,11376,11460,410733,379435,25244,26799,20252,17788,7381,7425,3091,2765
R,1,2015,34,4364122,2188286,2175836,1673034,1612159,290556,317839,31293,29046,139947,160080,7037,6185,46419,50527,1712990,1655694,307465,337613,48176,47281,158478,179751,12316,11570,1714575,1742088,1254077,1231300,269581,295329,15983,16316,135199,155621,4927,4545,34808,38977,1283779,1264647,281578,309984,27288,29131,150715,172311,9110,8878,473711,433748,418957,380859,20975,22510,15310,12730,4748,4459,2110,1640,11611,11550,429211,391047,25887,27629,20888,18150,7763,7440,3206,2692
R,1,2015,35,4254291,2135895,2118396,1632590,1568029,283757,310706,30253,27782,138709,157600,6508,5996,44078,48283,1670640,1609481,299583,329624,46744,45308,155936,176415,11469,11161,1677681,1698027,1227433,1198615,263334,288938,15368,15514,134252,153383,4514,4453,32780,37124,1255476,1230252,274430,302794,26348,27834,148613,169327,8418,8592,458214,420369,405157,369414,20423,21768,14885,12268,4457,4217,1994,1543,11298,11159,415164,379229,25153,26830,20396,17474,7323,7088,3051,2569
R,1,2015,36,4015912,2003832,2012080,1534023,1491336,263509,292644,27957,26343,131502,151196,5998,5548,40843,45013,1569086,1529961,278130,309913,43304,43024,147660,168815,10447,10268,1576429,1610586,1154986,1138540,244943,272076,14472,14578,127296,146995,4242,4030,30490,34367,1180854,1167803,255307,284638,24760,26174,140799,161906,7740,7818,427403,401494,379037,352796,18566,20568,13485,11765,4206,4201,1756,1518,10353,10646,388232,362158,22823,25275,18544,16850,6861,6909,2707,2450
R,1,2015,37,4036808,2012060,2024748,1546776,1507268,260883,290982,28500,26839,129777,149724,6048,5658,40076,44277,1581160,1545096,275030,307946,43969,43516,145494,166961,10437,10334,1580248,1616193,1163213,1146986,242788,270640,14715,15047,125512,145581,4288,4128,29732,33811,1188419,1175633,252630,282887,25062,26707,138652,160204,7727,7873,431812,408555,383563,360282,18095,20342,13785,11792,4265,4143,1760,1530,10344,10466,392741,369463,22400,25059,18907,16809,6842,6757,2710,2461
R,1,2015,38,3892049,1936892,1955157,1486024,1454363,248141,278335,27357,25452,131406,149675,5767,5208,38197,42124,1518889,1490190,261103,294117,42011,41543,146692,166315,10093,9729,1518670,1555415,1113921,1100727,230724,258898,14204,14257,127288,145647,4102,3768,28431,32118,1138095,1127758,239632,270284,24070,25561,140132,159680,7495,7395,418222,399742,372103,353636,17417,19437,13153,11195,4118,4028,1665,1440,9766,10006,380794,362432,21471,23833,17941,15982,6560,6635,2598,2334
